label,child talk,parent talk
neutral_talk,,there was a cute rabbit in our yard today
negative_talk,,you 're bugging me
reflection,i found the hat for potato head,the hat for potato head
command,,draw a horse in your picture
behavior_description,,we 're coloring
question,i want hot dogs for dinner,maybe ok
negative_talk,,that is a messy picture you colored
neutral_talk,,you are n't allowed to stand on the table
reflection,i want to go home,you want to go home
negative_talk,,it 's not
negative_talk,,do n't eat that cookie in here and spill crumbs
reflection,no this is a tiger,oh that 's a tiger
negative_talk,go pick up my shoes,who do you think you 're talking to
neutral_talk,,uh oh
neutral_talk,how many pieces are left,one two
behavior_description,,you drew the grass
neutral_talk,,we are going to school after this therapy session
command,,take that out of your mouth
behavior_description,,"oh , you re taking the green playdough out now"
reflection,my baby 's name is molly,your baby 's name is molly
command,,sit up
negative_talk,do you want to play,no because you are acting too wild
command,,you need to do what i tell you
command,i want to build another tower,then you need to get more blocks
neutral_talk,(draws purple flower),that flower is purple
negative_talk,this is a donkey,no that 's a horse
unlabelled_praise,,great throw
question,,what if we put it together like this
neutral_talk,and her mother had white hair,uh huh
command,,pick that up pick it up i said pick it up pick it up okay
command,,can you put one of those in here for me
labelled_praise,,that 's nice work you did lining them up
question,,are you ready to play
negative_talk,,that 's ugly
command,,find the word go
behavior_description,,now you 're pouring the tea
neutral_talk,what,just you
command,,put all the toys away
neutral_talk,,flip
question,,should we add this here
question,"arden , she s a friend at school , whispered she has elf on the shelf","she has elf on the shelf , too"
behavior_description,,that 's the blue block
neutral_talk,,i want to build with you
neutral_talk,,a 't' goes next
question,you 're making a valentine,like it
command,,let 's play with these toys
question,,what are you doing now
question,,what are we doing now
labelled_praise,,you pick up toys good
neutral_talk,,it looks like a blue block
labelled_praise,,you did a great job cleaning up
question,,is that how this goes
labelled_praise,,you did that perfectly
neutral_talk,i forgot,"oh , you you had one pieces"
unlabelled_praise,,i love you
question,,how about some pie
neutral_talk,i'm coloring the hat,you 're not using the green crayons
question,i made it tall,did you make a tall tower
negative_talk,,do n't let them fall
behavior_description,child puts block on stack of blocks,you are putting the red block on top of the yellow block
neutral_talk,,hmm
neutral_talk,what are we going to eat tonight,we 're having pasta for dinner
neutral_talk,,it looks tight
question,,do you want to sit on the floor with me
behavior_description,,i see you 're coloring those apples pink
neutral_talk,cherrys,exactly
command,,you have to put the cars away now
reflection,the girl is sleeping,she 's sleeping in the bed
command,,you should probably take it off
behavior_description,,you are not listening
question,,what sound does the car make
labelled_praise,,thank you for playing nicely
labelled_praise,,great idea to get some chocolate
command,,try and set it down on its edge
neutral_talk,,i am going to build a wall here to go with your wall
command,,why do n't we build castles now
question,this is a rabbit,that 's a rabbit
behavior_description,,it looks like you 're drawing a bear
neutral_talk,i mix colors when my mom and dad tell me to,mmm
neutral_talk,,we got one more over there
command,,get back here
command,,let me see
behavior_description,,that 's a blue block that you 're putting on
neutral_talk,my dolly wants the red scarf,my doll is wearing the red scarf
neutral_talk,how do i spell my name,(parent spells child 's name letter by letter)
command,cause i was crying at school,will you
neutral_talk,,gently
