Speaker,Utterance
parent,there was a cute rabbit in our yard today
parent,you 're bugging me
child,i found the hat for potato head
parent,the hat for potato head
parent,draw a horse in your picture
parent,we 're coloring
child,i want hot dogs for dinner
parent,maybe ok
parent,that is a messy picture you colored
parent,you are n't allowed to stand on the table
child,i want to go home
parent,you want to go home
parent,it 's not
parent,do n't eat that cookie in here and spill crumbs
child,no this is a tiger
parent,oh that 's a tiger
child,go pick up my shoes
parent,who do you think you 're talking to
parent,uh oh
child,how many pieces are left
parent,one two
parent,you drew the grass
parent,we are going to school after this therapy session
parent,take that out of your mouth
parent,"oh , you re taking the green playdough out now"
child,my baby 's name is molly
parent,your baby 's name is molly
parent,sit up
child,do you want to play
parent,no because you are acting too wild
parent,you need to do what i tell you
child,i want to build another tower
parent,then you need to get more blocks
child,(draws purple flower)
parent,that flower is purple
child,this is a donkey
parent,no that 's a horse
parent,great throw
parent,what if we put it together like this
child,and her mother had white hair
parent,uh huh
parent,pick that up pick it up i said pick it up pick it up okay
parent,can you put one of those in here for me
parent,that 's nice work you did lining them up
parent,are you ready to play
parent,that 's ugly
parent,find the word go
parent,now you 're pouring the tea
child,what
parent,just you
parent,put all the toys away
parent,flip
parent,should we add this here
child,"arden , she s a friend at school , whispered she has elf on the shelf"
parent,"she has elf on the shelf , too"
parent,that 's the blue block
parent,i want to build with you
parent,a 't' goes next
child,you 're making a valentine
parent,like it
parent,let 's play with these toys
parent,what are you doing now
parent,what are we doing now
parent,you pick up toys good
parent,it looks like a blue block
parent,you did a great job cleaning up
parent,is that how this goes
parent,you did that perfectly
child,i forgot
parent,"oh , you you had one pieces"
parent,i love you
parent,how about some pie
child,i'm coloring the hat
parent,you 're not using the green crayons
child,i made it tall
parent,did you make a tall tower
parent,do n't let them fall
child,child puts block on stack of blocks
parent,you are putting the red block on top of the yellow block
parent,hmm
child,what are we going to eat tonight
parent,we 're having pasta for dinner
parent,it looks tight
parent,do you want to sit on the floor with me
parent,i see you 're coloring those apples pink
child,cherrys
parent,exactly
parent,you have to put the cars away now
child,the girl is sleeping
parent,she 's sleeping in the bed
parent,you should probably take it off
parent,you are not listening
parent,what sound does the car make
parent,thank you for playing nicely
parent,great idea to get some chocolate
parent,try and set it down on its edge
parent,i am going to build a wall here to go with your wall
parent,why do n't we build castles now
child,this is a rabbit
parent,that 's a rabbit
parent,it looks like you 're drawing a bear
child,i mix colors when my mom and dad tell me to
parent,mmm
parent,we got one more over there
parent,get back here
parent,let me see
parent,that 's a blue block that you 're putting on
child,my dolly wants the red scarf
parent,my doll is wearing the red scarf
child,how do i spell my name
parent,(parent spells child 's name letter by letter)
child,cause i was crying at school
parent,will you
parent,gently
child,you have to put it the other way
parent,what other way
child,it needs these ones
parent,"alright , all the monster trucks go in there we need to clean the table up"
child,a moustache
parent,a moustache
parent,you never help me pick up
parent,even the rocket
parent,you moved the car back and forth
child,oh
parent,i'm sorry that you broke the red crayon
child,mom
parent,we 're all done cleaning up
child,i have the yellow block
parent,the yellow one
parent,"you ve got the gravedigger , you got ironman , you got a fire truck , you got a school bus"
parent,oh toy drops
parent,you sat down next to me
parent,you need to listen to me
parent,this car needs another wheel
child,this tower is getting really high
parent,it is getting really high
parent,if you keep on working like this at school you will get straight a 's
parent,do you know what color this is
child,child is counting to 10
parent,good job counting
parent,where does this go
child,i'm coloring alot
parent,you are coloring a lot
child,child pretending to drink from a cup and making the gulp gulp sound
parent,parent makes gulp gulp sound
parent,put the arms in the right place (potato head)
parent,"he might have went on the floor , but we ll find him"
parent,get down
parent,pick out some toys
child,and this one touching on that one
parent,have you ever seen a real monster truck
parent,i m coming down to get some chocolate
child,close your eyes
parent,that is not where it goes honey
parent,great job respecting the toys
parent,are you going to keep acting like a baby
parent,so creative
child,you have to build a house
parent,i have to build a house
parent,play nice
parent,your hair is beautiful when you comb it
parent,what do you want
parent,will you make a rooster sound
child,you 're stupid
parent,we do n't say bad words
parent,that is a green truck
child,here 's a pink pony
parent,you know i hate pink
parent,let 's move this over here
parent,you need to share
parent,where s it at
child,it 's a horsey
parent,it is a horse it 's a brown horse
parent,this room has a lot of toys we can play with
child,look mommy i'm making a cupcake
parent,that 's not how you use that (talking about a play doh toy)
parent,you are moving the car
parent,what time is it where is mexico
child,this is a red crayon
parent,no that 's not red that 's yellow
child,clean up clean up everybody everywhere
parent,good job
child,i can draw a star
parent,you can draw a star
parent,you drew it perfectly
parent,that is amazing
parent,thank you for waiting your turn
parent,no do n't do that
parent,that 's not red
child,yeah
parent,there s none for me
parent,would this help
child,there we go
parent,"there we go , alright"
child,i am putting the mr potato head together
parent,you are putting the mr potato head together
parent,i need you to pick up the toys
parent,grandma told me that you climbed a tree this weekend
child,i m choosing this one
parent,that s a good one
parent,you seem happy that you fixed it
parent,write your name on the paper first
parent,you 're going to fall
parent,you are so good at taking care of the animals
parent,here s another one like this one right here
parent,i want you to put the bird on the branch
parent,"no , i ll leave those"
parent,you found that fast
parent,the other person might come play
parent,you are drawing a girl
parent,you are playing quietly
parent,hi
parent,mmm
parent,i m gonna put pretzels on the plate
child,my friend
parent,bring that over here
child,why
parent,i m gonna make some more stuff
parent,i do n't know what to do next
child,child draws a house
parent,i like that house
parent,you did have a good day at school
child,french fries
parent,they re so heavy
parent,you got some out
parent,hmm
child,mine
parent,you grabbed it from me
child,where is the egg
parent,you ought to
parent,how are you going to do that
parent,i found another one
child,i did it by myself
parent,you 're happy that you could do it by yourself
child,i'm making the car go fast
parent,you 're making the car go super fast
parent,that 's not what it is
parent,we 're building the tower
child,colors on table
parent,stop do n't color on the table
parent,you found the green crayon
child,let s fill it up again
parent,"sure , we can"
parent,you put the green block on first
child,we play cars now
parent,you 'd like to play with the cars now
child,i'm making a boat and a jet ski
parent,you 're making a boat and jet ski
child,i'm able to spell my name
parent,you can spell your name
parent,no no no
child,we need a plate
parent,what are all these toys
parent,you did a good job
child,i drew a picture of a boat
parent,you drew a picture of a boat
parent,i did not hear you
parent,i'm very proud of you
parent,you are playing with the car
parent,moving everything out the way
parent,why did you do it like that
parent,if you continue practicing your beautiful writing will get even better
parent,could you make it high
parent,i m going to go to the police station
parent,you put the chicken in the barn
child,i counted 6 blocks
parent,there are 6 blocks
child,will you pick up the toy soldiers
parent,no i want to play with them
parent,your swishing the play dough
parent,this piece goes like this (demonstrates)
child,there 's no more blue
parent,the green pieces will work
parent,if you keep whining i 'll put you in a box and ship you off to china
parent,do you want to play something else
child,yeah
parent,do you think it s enough for everybody
parent,good for you
parent,that was a dumb idea
parent,your picture is so pretty
parent,can i have a turn with the hat
parent,i want something different to play with
parent,you seem to like those toys
parent,do you know where it goes
child,this is a zebra
parent,no that 's a just a horse
child,i don t like playing by myself
parent,you like playing with other people
parent,you are driving the car
child,my house is yellow and red
parent,your house is yellow and red
parent,if you give me some blocks i 'll play with you
parent,i will play with this
child,can we go to mcdonald 's tonight
parent,we have dinner at home
child,there
parent,those cows are hungry
child,i love green
parent,i love the color purple
parent,you are jumping
child,it 's a cow
parent,it 's a cow
child,my favorite is the giraffe
parent,that 's right i remember you told me your favorite animal is the giraffe
parent,nice pie you made
child,i need i m gonna choose this one
parent,you did you pick an apple one
child,that s funny
parent,that is funny
parent,would you
parent,you 're racing those two cars
parent,that 's not where that goes
parent,write the b next
parent,quit getting out of your chair
parent,ooooo there is a blue one and there was a green one on the floor
child,she has blocks
parent,yeah she does
parent,now what we do is put them together then we take the small ones and we tie them together like that
parent,we 're having such a good time are n't we
parent,you 're playing so nicely
parent,i am drawing a bluebonnets
parent,you got a purple tile now
parent,good job finding eyes
parent,are we gonna figure this out
parent,you are always knocking things over
parent,can i put the doll 's sofa in the living room
child,op
parent,i can grab the piece from there
parent,do it quickly
parent,awesome work
parent,that is true
child,this is a red crayon
parent,it 's blue
parent,i love it when you use your manners
child,a new
parent,a new one
parent,oh my goodness
parent,oh i see
parent,i need you to draw a circle
parent,no it is n't correct
child,the tiger is for you mom
parent,wow you are doing such a good job of sharing your toys with me
parent,you 're building it
parent,i need something to drink
child,do you have pockets in there
parent,how
parent,do you want the red ones
child,baby take boos pacie no more pacie
parent,the blocks are stacked
child,there s a no
parent,no
parent,you 're coloring hard with that crayon
child,thats
parent,will you tell me what letter this is
parent,i said sit down
parent,maybe if we put it on this one it will stay
parent,wanna trash the room
child,ours look the same
parent,it does
parent,you just made a circle
parent,thank you for not throwing toys
child,i put the car and the truck here
parent,you put the car and the truck beside each other
parent,i like how you put that together like that
parent,if you stop being good you wo n't be able to watch lv tonight
child,see i made a heart
parent,you drew a heart
parent,do you want me to play with you
child,where is something where is a splint that goes in right there
parent,you want to know where the splint is that goes in that one
parent,will you sit in this chair by me
parent,you are coloring with a green
parent,finish your name
parent,i think it s from the car s movie
child,he 's got his lips where his ears should go
parent,how 's he gonna drink his milk
child,i made a tower
parent,it 's a terrific tower
parent,the blue one is over there
parent,let 's play with a different toy
parent,that tower is really tall
parent,you 're making the princess sleep
parent,maybe we can get one of these for at home
parent,i like building
parent,you 're fun to play games with
child,i ca n't find the porcupine
parent,it 's under the table remember
parent,i'm feeling sad
parent,let 's play with legos
child,i'm missing a piece
parent,do you see it
parent,good work
parent,put the car in the box
parent,you are doing a good job with this building
parent,good job finishing your house
child,thanks
parent,does that arm go there
child,because he s the best
parent,"he is the best , alright"
parent,make it taller
child,we have these blocks
parent,i'm building with the blocks
child,you make a house
parent,i think you need to
child,"one , more"
parent,"now , we need to put that there"
parent,will you take
parent,french fries go on the plate with
parent,my dog is brown
parent,let 's play with the food
parent,good listening
child,here 's another piece of cake
parent,oh another piece
child,they re really really big
parent,"real big , yeah"
parent,hurry please
child,i also got
parent,good job taking your jacket off
child,i made a tower
parent,wow cool
child,and
parent,you are scooping out the food with a spatula
parent,you are sitting in you seat so well
parent,train
parent,i think that 's a bunny your drawing
child,i love it
parent,great job putting the toy there
parent,what letter comes after m
parent,you want to play with legos do n't you
child,do you like my picture
parent,you drew it pink
parent,it 's time to pick up the toys
parent,put that there
parent,hand me that okay
parent,thank you for handing me the toy
child,the girl is in the green car
parent,the boy is in the green car too
parent,you 're drawing a house like ours
child,the cars crash into each other
parent,no people could get hurt if they crash
child,(child coloring)
parent,you 're using the pink crayon
parent,what do you say
parent,i almost dropped the donut
child,let 's go to the zoo
parent,ok we 're going to the zoo
child,but it has two eyes in there
parent,it does
child,i want to play play doh
parent,you want to play with play doh
parent,do n't be annoying
child,who did
parent,you sing so well
parent,get that out of your mouth
parent,another log right here
parent,have you ever played with this toy before
child,child is coloring on paper
parent,you never color this nicely at home
parent,i love your smile
child,oh no
parent,i need you to hand me a marker
child,i'm happy that we found cookie monster
parent,you 're glad that we found him
parent,joey
child,but i know what happened with lightning mcqueen
parent,hmm
parent,i used to draw a lot when i was younger
parent,i'm going to build too
parent,i said stop it
parent,good job coloring that
parent,i 'd like to use a hammer also
parent,you found the house
child,i made a waffle
parent,a waffle
parent,that 's nice work you did
child,i love this potato head
parent,you 're sure do love it
child,look at what i did
parent,that 's neat
parent,thank you for sitting next to me
parent,show me what we do with the peas
parent,where are you going
parent,that s an old daddy
child,where is it
parent,we got enough for monster trucks i believe
parent,you gave mr potato head another arm
parent,"oh , you put some more on there"
child,good taste
parent,that looks weird
parent,that 's a house you 're drawing
child,what dat
parent,you are making a pattern with the legos
child,you 're a witch
parent,children are n't supposed to call their parents names
parent,that car is blue
child,i want some shoes
parent,if you do not sit down i will spank you
parent,how many cars do you have
parent,wow
child,"ok , eat first"
parent,"oh , eat first"
parent,do n't be dumb
parent,what s her elf s name
parent,i do n't like that idea
parent,maybe if you use this you can squish it in there
parent,stop playing with the doll house
parent,i found a what s this
parent,i'm building a tall tower
parent,you got the cow in your hand
child,(no sound)
parent,(car sounds)
child,go car go
parent,c'mon car we 're rooting for you
parent,do n't press too hard
parent,you 're playing with play doh
parent,can you put all the toys in the bucket
child,that s a bummer
parent,that is a bummer
child,i want to put this here
parent,you want to put that there
parent,there are 6 pieces here
parent,spit that out or else
parent,you are being so good and i like that
child,i drew my whole name
parent,you 're feeling pretty proud of yourself
child,squish squish
parent,let 's do this
child,i'm going to add some more
parent,add some more
parent,what is that you made
parent,gonna put the cars away
parent,what do we do next
parent,elizabeth
parent,you 're going to make a
parent,i do n't like it when you get mad and start crying about the doll
parent,i'm going to play with the orange one
parent,it 's your turn to choose the game
parent,you made a terrific game
parent,it does n't go there
child,here you go
parent,thanks
child,i want the red block
parent,you are being selfish you are n't sharing
child,today was a great day
parent,a great day
parent,put the dollhouse away ok
parent,you 're standing very close
parent,now you re putting that arm in
parent,can you let me play with that
child,i circled the snake
parent,you circled a snake
child,this is a dragon 's house
parent,is that what it is
child,everyone is going to go in there
parent,everyone
parent,that 's annoying
parent,you 're pushing the car
parent,do you know what letter that is
child,can i have a kleenex
parent,yes you can have a kleenex
parent,you are singing the clean up song
child,i want to play with these
parent,oh they look like cool toys
child,playing with dolls
parent,you put the doll in the chair
parent,you 're making a cool motor sound
parent,you are playing so nicely with all the toys
parent,why ca n't you act like your brother when we 're in church
parent,you put the cow in the barn
parent,if you do n't finish cleaning up then you 'll be grounded tonight
parent,if you throw that i 'll kick your behind
parent,how fast does the car go
parent,i am building
parent,do n't make a mess
parent,"well , i don t listen to my mom and dad every day either"
parent,i want more short ones
parent,do n't play like that with the toys
parent,that 's a triangle
child,i like playing with these legos
parent,you like playing with all their games
parent,awesome bud
parent,i do n't know how to draw
parent,you are lifting the lid
parent,use these eyes
parent,you are putting the food on the table
parent,uh oh
child,this is a cheetah
parent,cheetahs run super fast
parent,that 's not polite
child,this is too hard
parent,that looks hard
parent,you are molding play doh
parent,i guess you did the whole thing wrong
child,no
parent,no
parent,"oh , when they re all done they can watch tv"
parent,the car is going really fast
parent,that was a real smart idea (sarcastic tone)
parent,hey they have legos here
child,they only only ruined it
parent,you did a great job of building the tower
parent,i said keep going
parent,gasp in the bucket
parent,cool
parent,now you are building a tower
parent,now what do you want to play
parent,where does it go
parent,what sound does the cow make
parent,can you come back over here
parent,sit at the table
parent,you are imaginative
parent,you 're putting the eyes over there
parent,do you want to build with the blocks now
child,when are we going
parent,we 'll leave after we play
child,what d you want
parent,right
parent,thanks for helping
parent,in order for us to keep playing please hand me the green block
parent,look
child,\( cars crash \) boom
parent,"whoa , this one s about to take off"
child,cuz he drank it all up
parent,"oh , what about me"
parent,"oh , what s that"
child,child rolling cars
parent,you 're rolling the cars
child,dad 's gonna take us to the park
parent,you 're going to play on the swings
parent,you did n't do that right
child,i want pepper daddy
parent,what did santa bring you
child,and how about we do these
parent,i don t want that one there
child,"wait , what is this"
parent,"yeah , but the spicy food might give me an upset stomach"
parent,i like the farm animals you picked for us
parent,three
child,i picked the turtle
parent,you picked the turtle
parent,well there s a lot of pretty trucks there
parent,ryan (name of child) is playing with the blocks
child,no
parent,no
parent,these are nice trucks
child,(child burps)
parent,that is n't nice
parent,i am playing with the legos
child,i'm going to get some more toys
parent,you 're going to get some more toys
parent,that s pretty nutritious
child,here you go
parent,here s another one for you
parent,they go so fast
parent,start
child,there
parent,we did a bad job
parent,you like to play legos at home
child,i made a tower
parent,you did build a tower
child,the teacher said it 's your fault
parent,your teacher is a
parent,i do n't like the way you 're talking
